mpb_band,lambda_um-2,nu_a2.288
199,1.091439247,0.380431
200,1.092358351,0.380591
201,1.095148325,0.381077
202,1.098918915,0.381732
203,1.099819779,0.381889
204,1.102182508,0.382299
205,1.103070498,0.382453
206,1.104551315,0.382709
207,1.105960608,0.382953
208,1.107141972,0.383158
209,1.109207153,0.383515
210,1.111060143,0.383835
211,1.113999367,0.384343
212,1.116595507,0.384790
213,1.117494226,0.384945
214,1.119699597,0.385325
215,1.120141029,0.385401
216,1.123326302,0.385948
217,1.123432398,0.385967
218,1.126620531,0.386514
219,1.127772927,0.386711
220,1.128808618,0.386889
221,1.130697727,0.387213
222,1.133979559,0.387774
223,1.136556983,0.388215
224,1.137328863,0.388346
225,1.138283849,0.388509
226,1.142214060,0.389179
227,1.143307924,0.389366
228,1.145575404,0.389752
229,1.146604419,0.389927
230,1.147579908,0.390093
231,1.152217627,0.390880
232,1.153322458,0.391067
233,1.154546976,0.391275
234,1.155599356,0.391453
235,1.157859683,0.391836
236,1.161100864,0.392384
237,1.163928509,0.392861
238,1.164872169,0.393021
239,1.165460825,0.393120
240,1.166872263,0.393358
241,1.168770313,0.393678
242,1.172258377,0.394265
243,1.173993826,0.394556
244,1.175672531,0.394838
245,1.176002979,0.394894
246,1.180293679,0.395614
247,1.181101203,0.395749
248,1.183055162,0.396076
249,1.184793949,0.396367
250,1.187880516,0.396883
251,1.190032840,0.397242
252,1.193768263,0.397865
253,1.195843935,0.398211
254,1.197505951,0.398488
255,1.198645353,0.398677
256,1.200207472,0.398937
257,1.203988910,0.399565
258,1.204964638,0.399727
259,1.207448721,0.400139
260,1.209451914,0.400470
261,1.209792137,0.400527
262,1.211356878,0.400786
263,1.214423895,0.401293
264,1.216444492,0.401626
265,1.217645049,0.401825
266,1.220305443,0.402263
267,1.223586082,0.402804
268,1.225880861,0.403181
269,1.229061246,0.403704
270,1.230771780,0.403985
271,1.231388688,0.404086
272,1.234137893,0.404537
273,1.235323191,0.404731
274,1.237764478,0.405131
275,1.241477966,0.405738
276,1.243542671,0.406075
277,1.245198011,0.406345
278,1.246180296,0.406506
279,1.249155045,0.406991
280,1.249538183,0.407053
281,1.253430486,0.407686
282,1.255504847,0.408024
283,1.258602619,0.408527
284,1.259764194,0.408715
285,1.260399580,0.408818
286,1.261781335,0.409042
287,1.265618086,0.409664
288,1.266389608,0.409789
289,1.268463135,0.410124
290,1.270017385,0.410375
291,1.273153305,0.410881
292,1.274295092,0.411066
293,1.277829766,0.411635
294,1.279374599,0.411884
295,1.281148672,0.412170
296,1.281483889,0.412223
297,1.285224199,0.412825
298,1.287225485,0.413146
299,1.287805080,0.413239
300,1.294386387,0.414294
301,1.295123577,0.414411
302,1.296359301,0.414609
303,1.299374938,0.415091
304,1.302222610,0.415546
305,1.304557323,0.415918
306,1.306515932,0.416230
307,1.307723999,0.416423
308,1.310357809,0.416842
309,1.314582825,0.417513
310,1.316151619,0.417762
311,1.316778183,0.417862
312,1.317366838,0.417955
313,1.323099852,0.418863
314,1.324377775,0.419066
315,1.326552272,0.419410
316,1.327986240,0.419636
317,1.329086542,0.419810
318,1.331589699,0.420205
319,1.334264278,0.420627
320,1.335759878,0.420863
321,1.339663982,0.421477
322,1.342822790,0.421974
323,1.342901230,0.421986
324,1.345316648,0.422365
325,1.348393202,0.422848
326,1.349115014,0.422961
327,1.351321697,0.423307
328,1.351829290,0.423387
329,1.355949521,0.424031
330,1.359678507,0.424614
331,1.361935854,0.424966
332,1.363510966,0.425212
333,1.365092516,0.425458
334,1.365685701,0.425551
335,1.369397163,0.426129
336,1.371253252,0.426417
337,1.375044942,0.427007
338,1.376500368,0.427233
339,1.381663322,0.428033
340,1.385953665,0.428697
341,1.386593342,0.428796
342,1.387094021,0.428873
343,1.388756275,0.429130
344,1.389002919,0.429168
345,1.392214537,0.429664
346,1.394148111,0.429963
347,1.396949768,0.430394
348,1.398246527,0.430594
349,1.402693152,0.431278
350,1.404229403,0.431514
351,1.406962156,0.431934
352,1.411374092,0.432611
353,1.412096977,0.432721
354,1.414319873,0.433062
355,1.416101694,0.433335
356,1.417600393,0.433564
357,1.421049833,0.434091
358,1.423811436,0.434513
359,1.426579237,0.434935
360,1.428123713,0.435170
361,1.431135058,0.435629
362,1.431314230,0.435656
363,1.433873892,0.436045
364,1.436308146,0.436415
365,1.438595772,0.436763
366,1.439515948,0.436902
367,1.442066431,0.437289
368,1.445888042,0.437868
369,1.446261883,0.437925
370,1.447662830,0.438137
371,1.450406790,0.438552
372,1.452676535,0.438895
373,1.453348994,0.438997
374,1.455815315,0.439369
375,1.459175467,0.439876
376,1.463492155,0.440526
377,1.464179277,0.440629
378,1.466991544,0.441052
379,1.469009876,0.441355
380,1.469970822,0.441500
381,1.470939398,0.441645
382,1.476090431,0.442418
383,1.476653814,0.442502
384,1.479392290,0.442912
385,1.481802225,0.443273
386,1.483191490,0.443481
387,1.486932039,0.444040
388,1.488602638,0.444289
389,1.489416838,0.444410
390,1.490196943,0.444527
391,1.492924213,0.444933
392,1.493553996,0.445027
393,1.497738838,0.445650
394,1.498113632,0.445706
395,1.500489473,0.446059
396,1.502361536,0.446338
397,1.503252506,0.446470
398,1.507072687,0.447037
399,1.510255098,0.447509
400,1.513984203,0.448061
401,1.517473340,0.448577
402,1.518466115,0.448723
403,1.518986106,0.448800
404,1.520886898,0.449081
405,1.523627400,0.449485
406,1.525957584,0.449829
407,1.528263807,0.450169
408,1.529128790,0.450296
409,1.530571103,0.450508
410,1.535863161,0.451287
411,1.537631512,0.451546
412,1.539312720,0.451793
413,1.542975187,0.452330
414,1.544833541,0.452603
415,1.547170401,0.452945
416,1.548083067,0.453078
417,1.550345898,0.453409
418,1.551284313,0.453547
419,1.555964231,0.454230
420,1.557053566,0.454389
421,1.561631918,0.455057
422,1.563512683,0.455331
423,1.565939665,0.455684
424,1.567619562,0.455928
425,1.568750858,0.456093
426,1.570054770,0.456282
427,1.570674300,0.456372
428,1.575339794,0.457050
429,1.577797532,0.457406
430,1.579393148,0.457637
431,1.581957221,0.458008
432,1.584469557,0.458372
433,1.586140871,0.458614
434,1.587507844,0.458811
435,1.594803810,0.459864
436,1.595946550,0.460029
437,1.596810102,0.460154
438,1.599728823,0.460574
439,1.602680922,0.460999
440,1.605418444,0.461392
441,1.607506156,0.461692
442,1.608374834,0.461817
443,1.610673070,0.462147
444,1.612879276,0.462463
445,1.617402554,0.463111
446,1.618915915,0.463328
447,1.622481108,0.463838
448,1.623119473,0.463929
449,1.624786854,0.464167
450,1.629651427,0.464861
451,1.631297112,0.465096
452,1.635140538,0.465644
453,1.635768294,0.465733
454,1.637806535,0.466023
455,1.644296288,0.466945
456,1.645144701,0.467066
457,1.647396088,0.467385
458,1.653363705,0.468231
459,1.657738209,0.468850
460,1.659174323,0.469053
461,1.662990093,0.469592
462,1.665812612,0.469991
463,1.668166041,0.470323
464,1.670235276,0.470614
465,1.674044132,0.471150
466,1.675940752,0.471417
467,1.679535866,0.471923
468,1.685592532,0.472773
469,1.688275576,0.473149
470,1.691868424,0.473652
471,1.694070816,0.473960
472,1.697104216,0.474384
473,1.701739073,0.475032
474,1.704795361,0.475458
475,1.708237767,0.475938
476,1.711290836,0.476363
477,1.716184497,0.477044
478,1.716932178,0.477148
479,1.726233482,0.478438
480,1.730528712,0.479033
481,1.734854817,0.479632
482,1.741377234,0.480532
483,1.742007256,0.480619
484,1.747993708,0.481444
485,1.754671574,0.482363
486,1.760795236,0.483204
487,1.766014934,0.483920
488,1.768027067,0.484195
489,1.774894714,0.485135
490,1.775953174,0.485279
491,1.778420210,0.485616
492,1.784974098,0.486510
493,1.793626308,0.487688
494,1.795890331,0.487996
495,1.801773071,0.488794
496,1.806839824,0.489481
497,1.819922686,0.491250
498,1.827873945,0.492322
499,1.840645790,0.494039
500,1.882956266,0.499685
501,1.962766647,0.510165
502,1.986565828,0.513248
503,2.011789799,0.516497
504,2.021064281,0.517686
505,2.040040493,0.520110
506,2.046053410,0.520876
507,2.056243896,0.522172
508,2.060417652,0.522702
509,2.064300060,0.523194
510,2.068006992,0.523663
511,2.078689337,0.525014
512,2.085720062,0.525901
513,2.091430664,0.526621
514,2.094634056,0.527024
515,2.100456715,0.527756
516,2.107060671,0.528585
517,2.107311726,0.528616
518,2.112052441,0.529211
519,2.120488644,0.530266
520,2.128195763,0.531229
521,2.132726669,0.531794
522,2.134840012,0.532058
523,2.139190197,0.532600
524,2.144174337,0.533220
525,2.145825386,0.533425
526,2.151155233,0.534087
527,2.155500412,0.534626
528,2.163714886,0.535644
529,2.170702934,0.536508
530,2.173394203,0.536841
531,2.176470280,0.537220
532,2.178133965,0.537426
533,2.186550140,0.538463
534,2.188268661,0.538675
535,2.189116955,0.538779
536,2.193221569,0.539284
537,2.195075989,0.539512
538,2.204164982,0.540628
539,2.207679510,0.541058
540,2.211709023,0.541552
541,2.213143349,0.541728
542,2.216055870,0.542084
543,2.222808361,0.542909
544,2.224867821,0.543161
545,2.229877949,0.543772
546,2.233366728,0.544197
547,2.236525059,0.544582
548,2.237631083,0.544716
549,2.242180824,0.545270
550,2.246850729,0.545837
551,2.248822212,0.546077
552,2.254606247,0.546779
553,2.256443739,0.547001
554,2.259500504,0.547372
555,2.263315439,0.547834
556,2.266210556,0.548184
557,2.268486500,0.548459
558,2.270828247,0.548742
559,2.273303032,0.549041
560,2.278426170,0.549659
561,2.283042431,0.550216
562,2.287536383,0.550757
563,2.289365768,0.550977
564,2.291066408,0.551182
565,2.295729160,0.551743
566,2.297478914,0.551953
567,2.300035000,0.552260
568,2.301696301,0.552459
569,2.305357695,0.552898
570,2.308729649,0.553303
571,2.313134432,0.553830
572,2.314136982,0.553950
573,2.320614338,0.554725
574,2.323223352,0.555037
575,2.323881149,0.555115
576,2.328038216,0.555611
577,2.333348513,0.556245
578,2.336649656,0.556638
579,2.338613272,0.556872
580,2.339414120,0.556967
581,2.342516422,0.557336
582,2.344349861,0.557555
583,2.346763611,0.557842
584,2.348214149,0.558014
585,2.352939129,0.558575
586,2.353493929,0.558641
587,2.357940197,0.559168
588,2.362222195,0.559676
589,2.363389730,0.559814
590,2.364727497,0.559973
591,2.370685577,0.560678
592,2.371738434,0.560802
593,2.372473240,0.560889
594,2.376423120,0.561356
595,2.378418446,0.561591
596,2.383467436,0.562187
597,2.385570765,0.562435
598,2.388161182,0.562740
599,2.390763283,0.563047
600,2.394325018,0.563466
601,2.396112919,0.563676
602,2.400158882,0.564152
603,2.403757095,0.564575
604,2.405564547,0.564787
605,2.408436298,0.565124
606,2.410102367,0.565319
607,2.412273169,0.565574
608,2.414970875,0.565890
609,2.417305946,0.566164
610,2.418765545,0.566335
611,2.421217680,0.566622
612,2.422505856,0.566772
613,2.424576283,0.567014
